Kelas,Hari,Jam,WaktuMulai,WaktuSelesai,Kind,MataPelajaran,Guru,Ruang
X PSPT 2,Kamis,7-8,11:20,13:40,CLASS,Bahasa Jawa,"Muhammad Fajar Assidiqi, S.Pd",R 56
X PSPT 2,Kamis,9-10,13:40,15:00,CLASS,Bahasa Inggris,"Muto'atul Khosi'ah, S.Pd",R 56
X PSPT 2,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
X PSPT 2,Jumat,2-3,07:30,08:30,CLASS,Koding dan Kecerdasan Artifisial,Elyana Frisca Monica S.Pd,Lab. Broadcast
X PSPT 2,Jumat,4-5-6-7,08:30,10:50,CLASS,Dasar BP,"Sa'ad Wazis Hiedayat, S.Pd",Lab. Broadcast
X PSPT 2,Jumat,8-9,10:50,13:30,CLASS,Seni Budaya,"Anang Prasetyo, S.Pd",R 56
X PSPT 2,Jumat,10-11,13:30,14:30,CLASS,Matematika,"Laili Ermawati, S.Pd",R 56
X PSPT 2,Jumat,12-13,14:30,15:30,CLASS,Bahasa Indonesia,"Umi Kulsum, S.Pd",R 56
X AN 1,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
X AN 1,Senin,2-3,07:40,09:00,CLASS,Sejarah,"Yustin Febrini, S.Pd",R 31
X AN 1,Senin,4-5,09:00,10:40,CLASS,Seni Budaya,"Anang Prasetyo, S.Pd",R 31
X AN 1,Senin,6,10:40,11:20,CLASS,BK,"Siti Maisaroh, S.Pd",R 31
X AN 1,Senin,7-8,11:20,13:40,CLASS,Bahasa Indonesia,"Siti Khoiriyah, S.Pd",R 31
X AN 1,Senin,9-10,13:40,15:00,CLASS,Bahasa Inggris,"Agus Muharyanto, M.Pd",R 31
X AN 1,Selasa,1-2-3,07:00,09:00,CLASS,Pendidikan Agama Islam dan Budi Pekerti,"Muashofah, M.Pd",R 31
X AN 1,Selasa,4-5,09:00,10:40,CLASS,Bahasa Indonesia,"Siti Khoiriyah, S.Pd",R 31
X AN 1,Selasa,6-7,10:40,12:00,CLASS,Informatika,"Tuhu Eries Kudori, S.Sn",Lab. AN COE 2
X AN 1,Selasa,8-9-10,13:00,15:00,CLASS,Dasar AN,"Rika Okta Maulida, S.Ds.",Lab. AN COE 2
X AN 1,Rabu,1-2-3,07:00,09:00,CLASS,Dasar AN,"Dhuana Putri Puspitasary, S.Pd",Lab. AN COE 2
X AN 1,Rabu,4-5,09:00,10:40,CLASS,Pendidikan Pancasila,"Mega Mahardika, S.Pd",R 31
X AN 1,Rabu,6-7,10:40,12:00,CLASS,Matematika,"Arvia Rienetasary, S.Pd",R 31
X AN 1,Rabu,8-9-10,13:00,15:00,CLASS,IPAS,"Indriati, S.Pd",R 31
X AN 1,Kamis,1-2,07:00,08:20,CLASS,Bahasa Inggris,"Agus Muharyanto, M.Pd",R 31
X AN 1,Kamis,3-4,08:20,09:40,CLASS,Matematika,"Arvia Rienetasary, S.Pd",R 31
X AN 1,Kamis,5-6-7,10:00,12:00,CLASS,PJOK,"Bella Prakoso, S.Pd",LAP
X AN 1,Kamis,8-9-10,13:00,15:00,CLASS,Dasar AN,"Dhuana Putri Puspitasary, S.Pd",Lab. AN COE 2
X AN 1,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
X AN 1,Jumat,2-3-4,07:30,09:00,CLASS,IPAS,"Indriati, S.Pd",R 31
X AN 1,Jumat,5-6,09:00,10:20,CLASS,Bahasa Jawa,Muhammad Fajar Assidiqi S.Pd,R 31
X AN 1,Jumat,7-8-9,10:20,13:30,CLASS,Dasar AN,"Rika Okta Maulida, S.Ds.",Lab. AN COE 2
X AN 1,Jumat,10-11,13:30,14:30,CLASS,Koding dan Kecerdasan Artifisial,"Endik Kuswantoro, S.Kom.,M.T",Lab. AN COE 2
X AN 1,Jumat,12-13,14:30,15:30,CLASS,Informatika,"Tuhu Eries Kudori, S.Sn",Lab. AN COE 2
X AN 2,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
X AN 2,Senin,2-3-4,07:40,09:40,CLASS,Pendidikan Agama Islam dan Budi Pekerti,"Muashofah, M.Pd",R 60
X AN 2,Senin,5-6,10:00,11:20,CLASS,Koding dan Kecerdasan Artifisial,"Endik Kuswantoro, S.Kom.,M.T",Lab. AN COE 2
X AN 2,Senin,7-8,11:20,13:40,CLASS,Sejarah,"Yustin Febrini, S.Pd",R 60
X AN 2,Senin,9-10,13:40,15:00,CLASS,Matematika,"Ajeng Okvitasari, S.Pd",R 60
X AN 2,Selasa,1-2-3,07:00,09:00,CLASS,PJOK,"Bella Prakoso, S.Pd",Lapangan
X AN 2,Selasa,4-5,09:00,10:40,CLASS,Matematika,"Ajeng Okvitasari, S.Pd",R 60
X AN 2,Selasa,6-7,10:40,12:00,CLASS,Pendidikan Pancasila,"Mega Mahardika, S.Pd",R 60
X AN 2,Selasa,8-9,13:00,14:20,CLASS,Bahasa Inggris,"Agus Muharyanto, M.Pd",R 60
X AN 2,Selasa,10,14:20,15:00,CLASS,BK,"Siti Maisaroh, S.Pd",R 60
X AN 2,Rabu,1-2-3,07:00,09:00,CLASS,IPAS,"Indriati, S.Pd",R 60
X AN 2,Rabu,4-5,09:00,10:40,CLASS,Bahasa Indonesia,"Siti Khoiriyah, S.Pd",R 60
X AN 2,Rabu,6-7,10:40,12:00,CLASS,Seni Budaya,"Anang Prasetyo, S.Pd",R 60
X AN 2,Rabu,8-9-10,13:00,15:00,CLASS,Dasar AN,"Rika Okta Maulida, S.Ds.",Lab. AN COE 2
X AN 2,Kamis,1-2,07:00,08:20,CLASS,Bahasa Indonesia,"Siti Khoiriyah, S.Pd",R 60
X AN 2,Kamis,3-4,08:20,09:40,CLASS,Bahasa Inggris,"Agus Muharyanto, M.Pd",R 60
X AN 2,Kamis,5-6-7,10:00,12:00,CLASS,Dasar AN,"Dhuana Putri Puspitasary, S.Pd",Lab. AN COE 2
X AN 2,Kamis,8-9-10,13:00,15:00,CLASS,Dasar AN,"Rika Okta Maulida, S.Ds.",Lab. AN COE 1
X AN 2,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
X AN 2,Jumat,2-3,07:30,08:30,CLASS,Bahasa Jawa,Muhammad Fajar Assidiqi S.Pd,R 60
X AN 2,Jumat,4-5,08:30,09:30,CLASS,Informatika,"Rika Okta Maulida, S.Ds.",Lab. AN COE 2
X AN 2,Jumat,6-7-8,09:50,11:20,CLASS,IPAS,"Indriati, S.Pd",R 60
X AN 2,Jumat,9-10-11,13:00,14:30,CLASS,Dasar AN,"Dhuana Putri Puspitasary, S.Pd",Lab. AN COE 1
X AN 2,Jumat,12-13,14:30,15:30,CLASS,Informatika,"Rika Okta Maulida, S.Ds.",Lab. AN COE 1
XI TKI 1,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
XI TKI 1,Senin,2-3,07:40,09:00,CLASS,Konsentrasi TKI,"Baskoro, S.Si",R 65
XI TKI 1,Senin,4-5-6,09:00,11:20,CLASS,Konsentrasi TKI,"Ayu Puspitorini, ST",R 65
XI TKI 1,Senin,7-8-9-10,11:20,15:00,CLASS,Konsentrasi TKI,"Diana Hartanti, S.T., M.Pd",R 65
XI TKI 1,Selasa,1-2,07:00,08:20,CLASS,Bahasa Jepang,"Rizki Putri Wulandari, S.Pd",R 65
XI TKI 1,Selasa,3-4,08:20,09:40,CLASS,Bahasa Inggris,"Agus Muharyanto, M.Pd",R 65
XI TKI 1,Selasa,5-6-7,10:00,12:00,CLASS,"Kreativitas, Inovasi dan Kewirausahaan","Baskoro, S.Si",R 65
XI TKI 1,Selasa,8-9-10,13:00,15:00,CLASS,Matematika,"Basuki Sarjono, S.Pd",R 65
XI TKI 1,Rabu,1-2,07:00,08:20,CLASS,Bahasa Jawa,"Yustin Febrini, S.Pd",R 65
XI TKI 1,Rabu,3-4,08:20,09:40,CLASS,Konsentrasi TKI,"Rifkotin Na'imah, S.Pd",R 65
XI TKI 1,Rabu,5-6,10:00,11:20,CLASS,"Kreativitas Inovasi, dan Kewirausahaan","Baskoro, S.Si",R 65
XI TKI 1,Rabu,7-8,11:20,13:40,CLASS,Mapel Pilihan TKI,"Sri Kusumastuti, S.Pd",R 65
XI TKI 1,Rabu,9-10,13:40,15:00,CLASS,Pendidikan Pancasila,"Sri Kusumastuti, S.Pd",R 65
XI TKI 1,Kamis,1-2-3,07:00,09:00,CLASS,Bahasa Indonesia,"Yani, S.Pd.",R 65
XI TKI 1,Kamis,4-5,09:00,10:40,CLASS,Sejarah,"Baskoro, S.Si",R 65
